governorate,quism,shiakha,score
محافظة القاهرة,قسم شبرا,الشماشرجى,1
محافظة القاهرة,قسم شبرا,جسر شبرا,1
محافظة القاهرة,قسم شبرا,الترعه البولاقيه,1
محافظة القاهرة,قسم شبرا,العطار,1
محافظة القاهرة,قسم قصر النيل,معروف,1
محافظة القاهرة,قسم قصر النيل,جاردن سيتى,1
محافظة القاهرة,قسم قصر النيل,الاسماعيليه,1
محافظة القاهرة,قسم قصر النيل,قصر الدوباره,1
محافظة القاهرة,قسم مصر الجديدة,الماظه,1
محافظة القاهرة,قسم مصر الجديدة,البستان,1
محافظة القاهرة,قسم مصر الجديدة,المنتزه,1
محافظة القاهرة,قسم مصر الجديدة,منشيه البكرى,1
